sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;cumulative_trial;trial;trial_type;true_sequence;obs_sequence;accuracy;RT;MT;score
2;2018-03-04;17:36:25.953000;type1;training;train;6;3;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;846.28;2289.639;0.437
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;7;4;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1578.171;1974.774;0.506
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;8;5;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1155.654;1666.32;0.6
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;9;5;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 3 4;0.8;1107.387;1570.717;0.637
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;10;5;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 - 2 3 - 4 - 1;0.4;627.633;998.886;1.001
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;11;6;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;658.263;1765.044;0.567
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;12;7;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;845.59;1688.183;0.592
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;13;7;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 3 4 - 1 2 4;0.6;813.536;1901.379;0.526
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;14;7;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1 1 1 2 3 3 3 4 4 4 4 - 3 4 - 1 2 3 - 1 3 4 - 1 4 4 4;0;-194.466;3845.058;0.26
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;15;8;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1353.572;1449.22;0.69
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;16;9;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;938.604;1462.996;0.684
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;17;10;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;762.184;1512.182;0.661
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;18;11;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1049.694;1700.183;0.588
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;1;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;1640.866;2245.804;0.445
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;2;3;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;1173.213;1974.996;0.506
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;3;4;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;671.823;1730.76;0.578
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;4;5;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;1148.897;1510.501;0.662
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;5;5;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;4 - 1 - 1 - 1 - 3;0.2;734.821;725.559;1.378
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;6;5;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;3 4 - 1 1 2 - 1 2 3 3 - 1 - 4;0;-199.849;1963.489;0.509
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;7;6;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;1184.447;1521.519;0.657
;;;;;;;;;;;;;;
