sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;sequence;cumulative_trial;trial;keystroke;key_from;key_to;RT
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;2;2;4;4;2 3;295.721
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;3;3;0;0;1 2;763.428
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;3;3;1;1 2;2;273.480
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;3;3;2;2;2;180.143
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;3;3;3;2;4;211.938
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;3;3;4;4;2 3;236.677
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;4;4;0;0;1 2;624.350
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;4;4;1;1 2;2;238.051
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;4;4;2;2;2;163.800
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;4;4;3;2;4;199.943
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;4;4;4;4;2 3;194.917
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;5;5;0;0;1 2;736.641
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;5;5;1;1 2;2;273.317
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;5;5;2;2;2;152.281
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;5;5;3;2;4;258.006
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;5;5;4;4;2 3;235.613
2;2018-02-28;09:37:52.737000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;1;1;0;0;2;1313.708
2;2018-02-28;09:37:52.737000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;1;1;1;2;1 4;415.561
2;2018-02-28;09:37:52.737000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;1;1;2;1 4;2;381.074
2;2018-02-28;09:37:52.737000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;1;1;3;2;1;472.898
2;2018-02-28;09:37:52.737000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;1;1;4;1;1 4;420.552
2;2018-02-28;09:37:52.737000;type1;training;train;2 - 1 4 - 2 - 1 - 1 4;2;2;0;0;2;888.321
