sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;cumulative_trial;trial;true_sequence;obs_sequence;accuracy;RT;MT;score
6;2018-03-02;08:48:22.947000;type1;testing;test;1;1;1 2 - 1 3 - 3 4 - 4 - 2 3;2 - 1 - 3 - 3 - 4;0.0;1889.830;1739.656;0.575
6;2018-03-02;08:48:22.947000;type1;testing;test;2;1;1 2 - 1 3 - 3 4 - 4 - 2 3;1 - 2 - 1 3 - 3 4 - 4;0.0;905.365;2250.240;0.444
6;2018-03-02;08:48:22.947000;type1;testing;test;3;2;1 2 - 1 3 - 3 4 - 4 - 2 3;1 2 - 1 3 - 3 4 - 4 - 2 3;1.0;910.290;2110.011;0.474
6;2018-03-02;08:48:22.947000;type1;testing;test;4;3;1 2 - 1 3 - 3 4 - 4 - 2 3;1 2 - 1 3 - 3 4 - 4 - 2 3;1.0;1138.718;2587.968;0.386
6;2018-03-02;08:48:22.947000;type1;testing;test;5;3;1 2 - 1 3 - 3 4 - 4 - 2 3;1 - 3 4 - 4 - 3 - 2;0.0;1732.202;2198.446;0.455
6;2018-03-02;08:48:22.947000;type1;testing;test;6;4;1 2 - 1 3 - 3 4 - 4 - 2 3;1 2 - 1 3 - 3 4 - 4 - 2 3;1.0;1435.009;2385.298;0.419
6;2018-03-02;08:48:22.947000;type1;testing;test;7;5;1 2 - 1 3 - 3 4 - 4 - 2 3;1 2 - 1 3 - 3 4 - 4 - 2 3;1.0;967.596;2454.001;0.407
6;2018-03-02;08:48:22.947000;type1;testing;test;8;6;1 2 - 1 3 - 3 4 - 4 - 2 3;1 2 - 1 3 - 3 4 - 4 - 2 3;1.0;1145.919;2380.194;0.420
6;2018-03-02;08:48:22.947000;type1;testing;test;1;1;1 2 - 1 4 - 2 4 - 1 4 - 4;3 - 1 - 1 - 4;0.0;2287.023;629.992;1.587
6;2018-03-02;08:48:22.947000;type1;testing;test;2;1;1 2 - 1 4 - 2 4 - 1 4 - 4;2 - 1 - 1 - 4 - 2 4;0.0;1729.628;2032.189;0.492
6;2018-03-02;08:48:22.947000;type1;testing;test;3;1;1 2 - 1 4 - 2 4 - 1 4 - 4;1 3 - 1 4 - 2 4 - 1 4 - 4;0.80000000000000004;968.567;2172.036;0.460
6;2018-03-02;08:48:22.947000;type1;testing;test;4;2;1 2 - 1 4 - 2 4 - 1 4 - 4;1 2 - 1 4 - 2 4 - 1 4 - 4;1.0;578.611;2282.266;0.438
6;2018-03-02;08:48:22.947000;type1;testing;test;5;3;1 2 - 1 4 - 2 4 - 1 4 - 4;1 2 - 1 4 - 2 4 - 1 4 - 4;1.0;957.091;2258.046;0.443
